station id,station name,valid,količina padavin [mm],dež,nevihta,sneg,sodra,poledica,padavine,snežna odeja
_1801,LJUBLJANA - DOBRUNJE,2022-10-01,7.5,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-02,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-03,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-04,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-05,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-06,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-07,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-08,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-09,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-10,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-11,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-12,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-13,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-14,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-15,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-16,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-17,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-18,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-19,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-20,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-21,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-22,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-23,26.8,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-24,0.2,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-25,16.5,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-26,0.8,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-27,0.3,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-28,0.3,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-29,0.2,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-30,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-10-31,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-01,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-02,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-03,2.1,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-04,4.8,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-05,4,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-06,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-07,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-08,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-09,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-10,1.2,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-11,17.8,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-12,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-13,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-14,0.2,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-15,2.7,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-16,0.4,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-17,8.4,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-18,4.5,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-19,8,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-20,5.2,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-21,0,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-22,0.9,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-23,18.8,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-24,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-25,0.2,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-26,0.1,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-27,0.1,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-28,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-29,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-11-30,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-01,0.8,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-02,5,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-03,1.8,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-04,7.8,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-05,3.9,da,da,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-06,18.8,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-07,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-08,1.3,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-09,6.1,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-10,46.8,da,ne,da,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-11,19.1,da,ne,da,ne,ne,da,da
_1801,LJUBLJANA - DOBRUNJE,2022-12-12,3.9,ne,ne,ne,ne,ne,da,da
_1801,LJUBLJANA - DOBRUNJE,2022-12-13,0,ne,ne,ne,ne,ne,ne,da
_1801,LJUBLJANA - DOBRUNJE,2022-12-14,0,ne,ne,ne,ne,ne,ne,da
_1801,LJUBLJANA - DOBRUNJE,2022-12-15,0,da,ne,ne,ne,ne,ne,da
_1801,LJUBLJANA - DOBRUNJE,2022-12-16,23.3,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-17,18.1,da,ne,da,ne,ne,da,da
_1801,LJUBLJANA - DOBRUNJE,2022-12-18,0.7,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-19,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-20,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-21,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-22,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-23,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-24,0,ne,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-25,0,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-26,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-27,0,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-28,0.2,ne,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-29,0,da,ne,ne,ne,ne,ne,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-30,1.8,da,ne,ne,ne,ne,da,ne
_1801,LJUBLJANA - DOBRUNJE,2022-12-31,6.3,ne,ne,ne,ne,ne,da,ne
